OrderNumber,ProductName,Color,Category,Subcategory,ListPrice,Orderdate,Duedate,Shipdate,PromotionName,SalesRegion,OrderQuantity,UnitPrice,SalesAmount,DiscountAmount,TaxAmount,Freight
SO53567,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northeast,7,32.394,226.758,0,18.1406,5.669
SO53570,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northeast,9,32.394,291.546,0,23.3237,7.2887
SO53574,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,United Kingdom,2,32.394,64.788,0,5.183,1.6197
SO53574,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,United Kingdom,2,32.394,64.788,0,5.183,1.6197
SO53582,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Central,8,32.394,259.152,0,20.7322,6.4788
SO53582,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Central,4,32.394,129.576,0,10.3661,3.2394
SO53584,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,5,32.394,161.97,0,12.9576,4.0493
SO53586,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,5,32.394,161.97,0,12.9576,4.0493
SO53586,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,1,32.394,32.394,0,2.5915,0.8099
SO53593,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Germany,1,32.394,32.394,0,2.5915,0.8099
SO53602,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,1,32.394,32.394,0,2.5915,0.8099
SO53603,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,1,32.394,32.394,0,2.5915,0.8099
SO53606,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,6,32.394,194.364,0,15.5491,4.8591
SO53606,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,6,32.394,194.364,0,15.5491,4.8591
SO53606,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,7,32.394,226.758,0,18.1406,5.669
SO53607,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,2,32.394,64.788,0,5.183,1.6197
SO53608,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Germany,2,32.394,64.788,0,5.183,1.6197
SO53608,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Germany,8,32.394,259.152,0,20.7322,6.4788
SO53611,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Central,3,32.394,97.182,0,7.7746,2.4296
SO53611,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Central,5,32.394,161.97,0,12.9576,4.0493
SO53613,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,5,32.394,161.97,0,12.9576,4.0493
SO53613,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,1,32.394,32.394,0,2.5915,0.8099
SO53613,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,6,32.394,194.364,0,15.5491,4.8591
SO53615,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Germany,4,32.394,129.576,0,10.3661,3.2394
SO53615,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Germany,6,32.394,194.364,0,15.5491,4.8591
SO53623,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,3,32.394,97.182,0,7.7746,2.4296
SO53623,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,2,32.394,64.788,0,5.183,1.6197
SO53623,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,4,32.394,129.576,0,10.3661,3.2394
SO55234,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,5,32.394,161.97,0,12.9576,4.0493
SO55234,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,9,32.394,291.546,0,23.3237,7.2887
SO55234,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,4,32.394,129.576,0,10.3661,3.2394
SO55236,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,United Kingdom,5,32.394,161.97,0,12.9576,4.0493
SO55238,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Central,5,32.394,161.97,0,12.9576,4.0493
SO55238,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Central,2,32.394,64.788,0,5.183,1.6197
SO55241,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Northwest,2,32.394,64.788,0,5.183,1.6197
SO55242,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Central,4,32.394,129.576,0,10.3661,3.2394
SO55248,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Northeast,4,32.394,129.576,0,10.3661,3.2394
SO55248,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Northeast,5,32.394,161.97,0,12.9576,4.0493
SO55248,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Northeast,2,32.394,64.788,0,5.183,1.6197
SO55249,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,4,32.394,129.576,0,10.3661,3.2394
SO55252,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,France,4,32.394,129.576,0,10.3661,3.2394
SO55252,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,France,4,32.394,129.576,0,10.3661,3.2394
SO55252,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,France,7,32.394,226.758,0,18.1406,5.669
SO55253,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,7,32.394,226.758,0,18.1406,5.669
SO55253,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,7,32.394,226.758,0,18.1406,5.669
SO55253,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,4,32.394,129.576,0,10.3661,3.2394
SO55254,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Germany,8,32.394,259.152,0,20.7322,6.4788
SO55254,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Germany,10,32.394,323.94,0,25.9152,8.0985
SO55254,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Germany,5,32.394,161.97,0,12.9576,4.0493
SO55258,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Australia,1,32.394,32.394,0,2.5915,0.8099
SO55260,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,1,32.394,32.394,0,2.5915,0.8099
SO55261,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Northeast,1,32.394,32.394,0,2.5915,0.8099
SO55264,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,3,32.394,97.182,0,7.7746,2.4296
SO55264,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,9,32.394,291.546,0,23.3237,7.2887
SO55264,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,2,32.394,64.788,0,5.183,1.6197
SO55265,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,1,32.394,32.394,0,2.5915,0.8099
SO55265,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,6,32.394,194.364,0,15.5491,4.8591
SO55268,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,United Kingdom,4,32.394,129.576,0,10.3661,3.2394
SO55268,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,United Kingdom,4,32.394,129.576,0,10.3661,3.2394
SO55269,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Northwest,9,32.394,291.546,0,23.3237,7.2887
SO55269,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Northwest,2,32.394,64.788,0,5.183,1.6197
SO55270,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,United Kingdom,2,32.394,64.788,0,5.183,1.6197
SO55282,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,6,32.394,194.364,0,15.5491,4.8591
SO55282,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,7,32.394,226.758,0,18.1406,5.669
SO55282,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,4,32.394,129.576,0,10.3661,3.2394
SO55288,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,United Kingdom,2,32.394,64.788,0,5.183,1.6197
SO55294,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Central,9,32.394,291.546,0,23.3237,7.2887
SO55295,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Northwest,8,32.394,259.152,0,20.7322,6.4788
SO55301,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Northeast,2,32.394,64.788,0,5.183,1.6197
SO55302,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Central,2,32.394,64.788,0,5.183,1.6197
SO55305,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Germany,8,32.394,259.152,0,20.7322,6.4788
SO55309,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Germany,4,32.394,129.576,0,10.3661,3.2394
SO55309,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Germany,10,32.394,323.94,0,25.9152,8.0985
SO55309,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Germany,6,32.394,194.364,0,15.5491,4.8591
SO55310,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,4,32.394,129.576,0,10.3661,3.2394
SO55311,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,France,6,32.394,194.364,0,15.5491,4.8591
SO55312,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Germany,1,32.394,32.394,0,2.5915,0.8099
SO55322,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,10,32.394,323.94,0,25.9152,8.0985
SO55322,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,4,32.394,129.576,0,10.3661,3.2394
SO55323,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,United Kingdom,10,32.394,323.94,0,25.9152,8.0985
SO55323,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,United Kingdom,10,32.394,323.94,0,25.9152,8.0985
SO55324,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Central,2,32.394,64.788,0,5.183,1.6197
SO55326,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Australia,8,32.394,259.152,0,20.7322,6.4788
SO55328,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,4,32.394,129.576,0,10.3661,3.2394
SO55328,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,10,32.394,323.94,0,25.9152,8.0985
SO57012,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Germany,1,32.394,32.394,0,2.5915,0.8099
SO57012,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Germany,9,32.394,291.546,0,23.3237,7.2887
SO57026,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,7,32.394,226.758,0,18.1406,5.669
SO57026,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,4,32.394,129.576,0,10.3661,3.2394
SO57026,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,4,32.394,129.576,0,10.3661,3.2394
SO57027,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southeast,2,32.394,64.788,0,5.183,1.6197
SO57028,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,1,32.394,32.394,0,2.5915,0.8099
SO57029,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southwest,1,32.394,32.394,0,2.5915,0.8099
SO57032,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Australia,2,32.394,64.788,0,5.183,1.6197
SO57034,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southwest,3,32.394,97.182,0,7.7746,2.4296
SO57034,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southwest,6,32.394,194.364,0,15.5491,4.8591
SO57034,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southwest,3,32.394,97.182,0,7.7746,2.4296
SO57035,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southwest,5,32.394,161.97,0,12.9576,4.0493
SO57038,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Central,3,32.394,97.182,0,7.7746,2.4296
SO57039,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southeast,5,32.394,161.97,0,12.9576,4.0493
SO57044,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,3,32.394,97.182,0,7.7746,2.4296
SO57046,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,6,32.394,194.364,0,15.5491,4.8591
SO57046,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,4,32.394,129.576,0,10.3661,3.2394
SO57051,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,7,32.394,226.758,0,18.1406,5.669
SO57051,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,10,32.394,323.94,0,25.9152,8.0985
SO57051,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,10,32.394,323.94,0,25.9152,8.0985
SO57054,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,3,32.394,97.182,0,7.7746,2.4296
SO57056,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,5,32.394,161.97,0,12.9576,4.0493
SO57061,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,5,32.394,161.97,0,12.9576,4.0493
SO57061,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,10,32.394,323.94,0,25.9152,8.0985
SO57061,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,10,32.394,323.94,0,25.9152,8.0985
SO57065,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northeast,8,32.394,259.152,0,20.7322,6.4788
SO57065,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northeast,9,32.394,291.546,0,23.3237,7.2887
SO57065,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northeast,4,32.394,129.576,0,10.3661,3.2394
SO57067,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Germany,6,32.394,194.364,0,15.5491,4.8591
SO57067,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Germany,5,32.394,161.97,0,12.9576,4.0493
SO57067,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Germany,6,32.394,194.364,0,15.5491,4.8591
SO57069,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Germany,8,32.394,259.152,0,20.7322,6.4788
SO57077,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southwest,4,32.394,129.576,0,10.3661,3.2394
SO57080,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,United Kingdom,1,32.394,32.394,0,2.5915,0.8099
SO57080,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,United Kingdom,5,32.394,161.97,0,12.9576,4.0493
SO57080,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,United Kingdom,4,32.394,129.576,0,10.3661,3.2394
SO57083,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,United Kingdom,2,32.394,64.788,0,5.183,1.6197
SO57083,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,United Kingdom,4,32.394,129.576,0,10.3661,3.2394
SO57085,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southwest,2,32.394,64.788,0,5.183,1.6197
SO57085,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southwest,5,32.394,161.97,0,12.9576,4.0493
SO57085,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southwest,3,32.394,97.182,0,7.7746,2.4296
SO57086,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,5,32.394,161.97,0,12.9576,4.0493
SO57086,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,8,32.394,259.152,0,20.7322,6.4788
SO57087,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northeast,5,32.394,161.97,0,12.9576,4.0493
SO57087,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northeast,3,32.394,97.182,0,7.7746,2.4296
SO57088,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southeast,3,32.394,97.182,0,7.7746,2.4296
SO57088,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southeast,3,32.394,97.182,0,7.7746,2.4296
SO57088,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southeast,5,32.394,161.97,0,12.9576,4.0493
SO57099,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,7,32.394,226.758,0,18.1406,5.669
SO57099,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,7,32.394,226.758,0,18.1406,5.669
SO57099,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,10,32.394,323.94,0,25.9152,8.0985
SO57104,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Southeast,3,32.394,97.182,0,7.7746,2.4296
SO57119,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,2,32.394,64.788,0,5.183,1.6197
SO57119,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,France,6,32.394,194.364,0,15.5491,4.8591
SO57121,"Short-Sleeve Classic Jersey, S",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Central,5,32.394,161.97,0,12.9576,4.0493
SO57121,"Short-Sleeve Classic Jersey, XL",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Central,5,32.394,161.97,0,12.9576,4.0493
SO57121,"Short-Sleeve Classic Jersey, L",Yellow,Clothing,Jerseys,53.99,4/30/2013,5/12/2013,5/7/2013,No Discount,Central,4,32.394,129.576,0,10.3661,3.2394
